method,index,dataset,category,source,image_path,expected,anomaly_score,threshold,threshold_source,prediction,correct
SPADE,38,mvtec_ad,leather,cut,E:\rules\Rules\mvtec_anomaly_detection\leather\test\cut\003.png,abnormal,9.18797398,2.33885884,target_f1,abnormal,true
SPADE,39,mvtec_ad,leather,fold,E:\rules\Rules\mvtec_anomaly_detection\leather\test\fold\011.png,abnormal,4.83614969,2.33885884,target_f1,abnormal,true
SPADE,40,mvtec_ad,leather,glue,E:\rules\Rules\mvtec_anomaly_detection\leather\test\glue\011.png,abnormal,7.32178497,2.33885884,target_f1,abnormal,true
SPADE,41,mvtec_ad,leather,poke,E:\rules\Rules\mvtec_anomaly_detection\leather\test\poke\008.png,abnormal,5.73170853,2.33885884,target_f1,abnormal,true
SPADE,42,mvtec_ad,metal_nut,good,E:\rules\Rules\mvtec_anomaly_detection\metal_nut\test\good\001.png,normal,3.94170523,3.94170523,target_f1,normal,true
SPADE,43,mvtec_ad,metal_nut,bent,E:\rules\Rules\mvtec_anomaly_detection\metal_nut\test\bent\023.png,abnormal,5.20365047,3.94170523,target_f1,abnormal,true
SPADE,44,mvtec_ad,metal_nut,color,E:\rules\Rules\mvtec_anomaly_detection\metal_nut\test\color\014.png,abnormal,4.88395071,3.94170523,target_f1,abnormal,true
SPADE,45,mvtec_ad,metal_nut,flip,E:\rules\Rules\mvtec_anomaly_detection\metal_nut\test\flip\017.png,abnormal,11.50926018,3.94170523,target_f1,abnormal,true
SPADE,46,mvtec_ad,metal_nut,scratch,E:\rules\Rules\mvtec_anomaly_detection\metal_nut\test\scratch\003.png,abnormal,4.72582388,3.94170523,target_f1,abnormal,true
SPADE,47,mvtec_ad,pill,good,E:\rules\Rules\mvtec_anomaly_detection\pill\test\good\012.png,normal,3.61375570,3.61375570,target_f1,normal,true
SPADE,48,mvtec_ad,pill,color,E:\rules\Rules\mvtec_anomaly_detection\pill\test\color\002.png,abnormal,4.10124397,3.61375570,target_f1,abnormal,true
SPADE,49,mvtec_ad,pill,combined,E:\rules\Rules\mvtec_anomaly_detection\pill\test\combined\009.png,abnormal,4.37332439,3.61375570,target_f1,abnormal,true
SPADE,50,mvtec_ad,pill,contamination,E:\rules\Rules\mvtec_anomaly_detection\pill\test\contamination\020.png,abnormal,3.30557442,3.61375570,target_f1,normal,false
SPADE,51,mvtec_ad,pill,crack,E:\rules\Rules\mvtec_anomaly_detection\pill\test\crack\019.png,abnormal,3.80794287,3.61375570,target_f1,abnormal,true
SPADE,52,mvtec_ad,pill,faulty_imprint,E:\rules\Rules\mvtec_anomaly_detection\pill\test\faulty_imprint\011.png,abnormal,5.29403114,3.61375570,target_f1,abnormal,true
SPADE,53,mvtec_ad,pill,pill_type,E:\rules\Rules\mvtec_anomaly_detection\pill\test\pill_type\003.png,abnormal,10.14420128,3.61375570,target_f1,abnormal,true
SPADE,54,mvtec_ad,pill,scratch,E:\rules\Rules\mvtec_anomaly_detection\pill\test\scratch\022.png,abnormal,3.74415398,3.61375570,target_f1,abnormal,true
SPADE,55,mvtec_ad,screw,good,E:\rules\Rules\mvtec_anomaly_detection\screw\test\good\004.png,normal,2.39146948,1.92335474,target_f1,abnormal,false
SPADE,56,mvtec_ad,screw,manipulated_front,E:\rules\Rules\mvtec_anomaly_detection\screw\test\manipulated_front\001.png,abnormal,1.92335474,1.92335474,target_f1,normal,false
SPADE,57,mvtec_ad,screw,scratch_head,E:\rules\Rules\mvtec_anomaly_detection\screw\test\scratch_head\021.png,abnormal,2.16923714,1.92335474,target_f1,abnormal,true
SPADE,58,mvtec_ad,screw,scratch_neck,E:\rules\Rules\mvtec_anomaly_detection\screw\test\scratch_neck\007.png,abnormal,2.16959906,1.92335474,target_f1,abnormal,true
SPADE,59,mvtec_ad,screw,thread_side,E:\rules\Rules\mvtec_anomaly_detection\screw\test\thread_side\009.png,abnormal,1.97497499,1.92335474,target_f1,abnormal,true
SPADE,60,mvtec_ad,screw,thread_top,E:\rules\Rules\mvtec_anomaly_detection\screw\test\thread_top\002.png,abnormal,2.10221767,1.92335474,target_f1,abnormal,true
SPADE,61,mvtec_ad,tile,good,E:\rules\Rules\mvtec_anomaly_detection\tile\test\good\014.png,normal,3.14137554,3.14137554,target_f1,normal,true
SPADE,62,mvtec_ad,tile,crack,E:\rules\Rules\mvtec_anomaly_detection\tile\test\crack\003.png,abnormal,14.36851501,3.14137554,target_f1,abnormal,true
SPADE,63,mvtec_ad,tile,glue_strip,E:\rules\Rules\mvtec_anomaly_detection\tile\test\glue_strip\012.png,abnormal,13.27914619,3.14137554,target_f1,abnormal,true
SPADE,64,mvtec_ad,tile,gray_stroke,E:\rules\Rules\mvtec_anomaly_detection\tile\test\gray_stroke\008.png,abnormal,6.18763971,3.14137554,target_f1,abnormal,true
SPADE,65,mvtec_ad,tile,oil,E:\rules\Rules\mvtec_anomaly_detection\tile\test\oil\014.png,abnormal,8.40372658,3.14137554,target_f1,abnormal,true
SPADE,66,mvtec_ad,tile,rough,E:\rules\Rules\mvtec_anomaly_detection\tile\test\rough\010.png,abnormal,7.85408163,3.14137554,target_f1,abnormal,true
SPADE,67,mvtec_ad,toothbrush,good,E:\rules\Rules\mvtec_anomaly_detection\toothbrush\test\good\005.png,normal,3.60265160,3.60265160,target_f1,normal,true
SPADE,68,mvtec_ad,toothbrush,defective,E:\rules\Rules\mvtec_anomaly_detection\toothbrush\test\defective\005.png,abnormal,6.67114496,3.60265160,target_f1,abnormal,true
SPADE,69,mvtec_ad,transistor,good,E:\rules\Rules\mvtec_anomaly_detection\transistor\test\good\023.png,normal,5.76625586,5.76625586,target_f1,normal,true
SPADE,70,mvtec_ad,transistor,bent_lead,E:\rules\Rules\mvtec_anomaly_detection\transistor\test\bent_lead\005.png,abnormal,5.84874582,5.76625586,target_f1,abnormal,true
SPADE,71,mvtec_ad,transistor,cut_lead,E:\rules\Rules\mvtec_anomaly_detection\transistor\test\cut_lead\003.png,abnormal,6.64083767,5.76625586,target_f1,abnormal,true
SPADE,72,mvtec_ad,transistor,damaged_case,E:\rules\Rules\mvtec_anomaly_detection\transistor\test\damaged_case\004.png,abnormal,7.39058447,5.76625586,target_f1,abnormal,true
SPADE,73,mvtec_ad,transistor,misplaced,E:\rules\Rules\mvtec_anomaly_detection\transistor\test\misplaced\001.png,abnormal,7.33283615,5.76625586,target_f1,abnormal,true
SPADE,74,mvtec_ad,wood,good,E:\rules\Rules\mvtec_anomaly_detection\wood\test\good\005.png,normal,3.96541667,3.96541667,target_f1,normal,true
SPADE,75,mvtec_ad,wood,color,E:\rules\Rules\mvtec_anomaly_detection\wood\test\color\003.png,abnormal,15.34884834,3.96541667,target_f1,abnormal,true
SPADE,76,mvtec_ad,wood,combined,E:\rules\Rules\mvtec_anomaly_detection\wood\test\combined\002.png,abnormal,10.49701500,3.96541667,target_f1,abnormal,true
SPADE,77,mvtec_ad,wood,hole,E:\rules\Rules\mvtec_anomaly_detection\wood\test\hole\007.png,abnormal,9.80608273,3.96541667,target_f1,abnormal,true
SPADE,78,mvtec_ad,wood,liquid,E:\rules\Rules\mvtec_anomaly_detection\wood\test\liquid\006.png,abnormal,6.71717215,3.96541667,target_f1,abnormal,true
SPADE,79,mvtec_ad,wood,scratch,E:\rules\Rules\mvtec_anomaly_detection\wood\test\scratch\008.png,abnormal,11.12791920,3.96541667,target_f1,abnormal,true
SPADE,80,mvtec_ad,zipper,good,E:\rules\Rules\mvtec_anomaly_detection\zipper\test\good\014.png,normal,2.18808389,2.18808389,target_f1,normal,true
SPADE,81,mvtec_ad,zipper,broken_teeth,E:\rules\Rules\mvtec_anomaly_detection\zipper\test\broken_teeth\010.png,abnormal,3.36817217,2.18808389,target_f1,abnormal,true
SPADE,82,mvtec_ad,zipper,combined,E:\rules\Rules\mvtec_anomaly_detection\zipper\test\combined\001.png,abnormal,3.00946927,2.18808389,target_f1,abnormal,true
SPADE,83,mvtec_ad,zipper,fabric_border,E:\rules\Rules\mvtec_anomaly_detection\zipper\test\fabric_border\007.png,abnormal,3.70440340,2.18808389,target_f1,abnormal,true
SPADE,84,mvtec_ad,zipper,fabric_interior,E:\rules\Rules\mvtec_anomaly_detection\zipper\test\fabric_interior\001.png,abnormal,2.22838926,2.18808389,target_f1,abnormal,true
SPADE,85,mvtec_ad,zipper,rough,E:\rules\Rules\mvtec_anomaly_detection\zipper\test\rough\010.png,abnormal,2.71247268,2.18808389,target_f1,abnormal,true
SPADE,86,mvtec_ad,zipper,split_teeth,E:\rules\Rules\mvtec_anomaly_detection\zipper\test\split_teeth\012.png,abnormal,3.64912796,2.18808389,target_f1,abnormal,true
SPADE,87,mvtec_ad,zipper,squeezed_teeth,E:\rules\Rules\mvtec_anomaly_detection\zipper\test\squeezed_teeth\008.png,abnormal,2.32757330,2.18808389,target_f1,abnormal,true
SPADE,88,mvtec_loco,breakfast_box,good,E:\rules\Rules\mvtec_loco_anomaly_detection\breakfast_box\test\good\008.png,normal,4.46588230,4.46588230,target_f1,normal,true
SPADE,89,mvtec_loco,breakfast_box,logical_anomalies,E:\rules\Rules\mvtec_loco_anomaly_detection\breakfast_box\test\logical_anomalies\027.png,abnormal,8.93138123,4.46588230,target_f1,abnormal,true
SPADE,90,mvtec_loco,breakfast_box,structural_anomalies,E:\rules\Rules\mvtec_loco_anomaly_detection\breakfast_box\test\structural_anomalies\072.png,abnormal,4.58883762,4.46588230,target_f1,abnormal,true
SPADE,91,mvtec_loco,juice_bottle,good,E:\rules\Rules\mvtec_loco_anomaly_detection\juice_bottle\test\good\091.png,normal,3.12060118,3.12060118,target_f1,normal,true
SPADE,92,mvtec_loco,juice_bottle,logical_anomalies,E:\rules\Rules\mvtec_loco_anomaly_detection\juice_bottle\test\logical_anomalies\080.png,abnormal,6.94497538,3.12060118,target_f1,abnormal,true
SPADE,93,mvtec_loco,juice_bottle,structural_anomalies,E:\rules\Rules\mvtec_loco_anomaly_detection\juice_bottle\test\structural_anomalies\027.png,abnormal,3.72672653,3.12060118,target_f1,abnormal,true
SPADE,94,mvtec_loco,pushpins,good,E:\rules\Rules\mvtec_loco_anomaly_detection\pushpins\test\good\127.png,normal,5.39581203,5.39581203,target_f1,normal,true
SPADE,95,mvtec_loco,pushpins,logical_anomalies,E:\rules\Rules\mvtec_loco_anomaly_detection\pushpins\test\logical_anomalies\050.png,abnormal,4.85776567,5.39581203,target_f1,normal,false
SPADE,96,mvtec_loco,pushpins,structural_anomalies,E:\rules\Rules\mvtec_loco_anomaly_detection\pushpins\test\structural_anomalies\058.png,abnormal,5.42100620,5.39581203,target_f1,abnormal,true
SPADE,97,mvtec_loco,screw_bag,good,E:\rules\Rules\mvtec_loco_anomaly_detection\screw_bag\test\good\018.png,normal,5.61819220,5.61819220,target_f1,normal,true
SPADE,98,mvtec_loco,screw_bag,logical_anomalies,E:\rules\Rules\mvtec_loco_anomaly_detection\screw_bag\test\logical_anomalies\067.png,abnormal,6.07125378,5.61819220,target_f1,abnormal,true
SPADE,99,mvtec_loco,screw_bag,structural_anomalies,E:\rules\Rules\mvtec_loco_anomaly_detection\screw_bag\test\structural_anomalies\017.png,abnormal,6.63340902,5.61819220,target_f1,abnormal,true
SPADE,100,mvtec_loco,splicing_connectors,good,E:\rules\Rules\mvtec_loco_anomaly_detection\splicing_connectors\test\good\031.png,normal,3.87465549,3.87465549,target_f1,normal,true
SPADE,101,mvtec_loco,splicing_connectors,logical_anomalies,E:\rules\Rules\mvtec_loco_anomaly_detection\splicing_connectors\test\logical_anomalies\095.png,abnormal,3.55314589,3.87465549,target_f1,normal,false
SPADE,102,mvtec_loco,splicing_connectors,structural_anomalies,E:\rules\Rules\mvtec_loco_anomaly_detection\splicing_connectors\test\structural_anomalies\071.png,abnormal,5.68457699,3.87465549,target_f1,abnormal,true
SPADE,103,visa,candle,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\candle\Data\Images\Normal\0551.JPG,normal,2.07793164,2.07793164,target_f1,normal,true
SPADE,104,visa,candle,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\candle\Data\Images\Anomaly\033.JPG,abnormal,3.51108551,2.07793164,target_f1,abnormal,true
SPADE,105,visa,capsules,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\capsules\Data\Images\Normal\598.JPG,normal,2.66238475,2.66238475,target_f1,normal,true
SPADE,106,visa,capsules,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\capsules\Data\Images\Anomaly\054.JPG,abnormal,4.17215252,2.66238475,target_f1,abnormal,true
SPADE,107,visa,cashew,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\cashew\Data\Images\Normal\459.JPG,normal,2.32141972,2.32141972,target_f1,normal,true
SPADE,108,visa,cashew,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\cashew\Data\Images\Anomaly\074.JPG,abnormal,3.64249659,2.32141972,target_f1,abnormal,true
SPADE,109,visa,chewinggum,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\chewinggum\Data\Images\Normal\204.JPG,normal,3.75378489,3.75378489,target_f1,normal,true
SPADE,110,visa,chewinggum,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\chewinggum\Data\Images\Anomaly\046.JPG,abnormal,6.23732471,3.75378489,target_f1,abnormal,true
SPADE,111,visa,fryum,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\fryum\Data\Images\Normal\112.JPG,normal,2.68373537,2.68373537,target_f1,normal,true
SPADE,112,visa,fryum,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\fryum\Data\Images\Anomaly\017.JPG,abnormal,4.43673134,2.68373537,target_f1,abnormal,true
SPADE,113,visa,macaroni1,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\macaroni1\Data\Images\Normal\0521.JPG,normal,2.72845817,2.72845817,target_f1,normal,true
SPADE,114,visa,macaroni1,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\macaroni1\Data\Images\Anomaly\063.JPG,abnormal,3.46155429,2.72845817,target_f1,abnormal,true
SPADE,115,visa,macaroni2,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\macaroni2\Data\Images\Normal\0093.JPG,normal,2.97799897,2.97799897,target_f1,normal,true
SPADE,116,visa,macaroni2,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\macaroni2\Data\Images\Anomaly\096.JPG,abnormal,4.40977716,2.97799897,target_f1,abnormal,true
SPADE,117,visa,pcb1,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\pcb1\Data\Images\Normal\0048.JPG,normal,2.00539756,2.00539756,target_f1,normal,true
SPADE,118,visa,pcb1,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\pcb1\Data\Images\Anomaly\014.JPG,abnormal,3.87207484,2.00539756,target_f1,abnormal,true
SPADE,119,visa,pcb2,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\pcb2\Data\Images\Normal\0156.JPG,normal,1.79529989,1.79529989,target_f1,normal,true
SPADE,120,visa,pcb2,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\pcb2\Data\Images\Anomaly\080.JPG,abnormal,2.67933941,1.79529989,target_f1,abnormal,true
SPADE,121,visa,pcb3,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\pcb3\Data\Images\Normal\0163.JPG,normal,2.95133209,2.95133209,target_f1,normal,true
SPADE,122,visa,pcb3,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\pcb3\Data\Images\Anomaly\087.JPG,abnormal,3.66245508,2.95133209,target_f1,abnormal,true
SPADE,123,visa,pcb4,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\pcb4\Data\Images\Normal\0432.JPG,normal,2.02712250,2.02712250,target_f1,normal,true
SPADE,124,visa,pcb4,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\pcb4\Data\Images\Anomaly\076.JPG,abnormal,3.50594449,2.02712250,target_f1,abnormal,true
SPADE,125,visa,pipe_fryum,Normal,E:\rules\Rules\VisA_20220922\VisA_20220922\pipe_fryum\Data\Images\Normal\032.JPG,normal,2.99172139,2.99172139,target_f1,normal,true
SPADE,126,visa,pipe_fryum,Anomaly,E:\rules\Rules\VisA_20220922\VisA_20220922\pipe_fryum\Data\Images\Anomaly\049.JPG,abnormal,5.02555370,2.99172139,target_f1,abnormal,true
